REF_DATE,GEO,DGUID,Field of study,Program type,Credential type,Institution type,Registration status,Status of student in Canada,Gender,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017/2018,Nova Scotia,2021A000212,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439412349,9.1.1.1.1.2.3.1,7677,,,,0
2018/2019,Nova Scotia,2021A000212,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439412349,9.1.1.1.1.2.3.1,9171,,,,0
2019/2020,Nova Scotia,2021A000212,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439412349,9.1.1.1.1.2.3.1,11070,,,,0
2020/2021,Nova Scotia,2021A000212,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439412349,9.1.1.1.1.2.3.1,9687,,,,0
2021/2022,Nova Scotia,2021A000212,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439412349,9.1.1.1.1.2.3.1,9216,,,,0
2011/2012,"Acadia University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439544125,10.1.1.1.1.2.3.1,372,,,,0
2012/2013,"Acadia University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439544125,10.1.1.1.1.2.3.1,417,,,,0
2013/2014,"Acadia University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439544125,10.1.1.1.1.2.3.1,408,,,,0
2014/2015,"Acadia University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439544125,10.1.1.1.1.2.3.1,417,,,,0
2015/2016,"Acadia University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439544125,10.1.1.1.1.2.3.1,423,,,,0
2016/2017,"Acadia University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439544125,10.1.1.1.1.2.3.1,456,,,,0
2017/2018,"Acadia University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439544125,10.1.1.1.1.2.3.1,477,,,,0
2018/2019,"Acadia University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439544125,10.1.1.1.1.2.3.1,516,,,,0
2019/2020,"Acadia University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439544125,10.1.1.1.1.2.3.1,504,,,,0
2020/2021,"Acadia University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439544125,10.1.1.1.1.2.3.1,435,,,,0
2021/2022,"Acadia University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439544125,10.1.1.1.1.2.3.1,390,,,,0
2011/2012,"Atlantic School of Theology, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439564291,11.1.1.1.1.2.3.1,0,,,,0
2012/2013,"Atlantic School of Theology, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439564291,11.1.1.1.1.2.3.1,3,,,,0
2014/2015,"Atlantic School of Theology, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439564291,11.1.1.1.1.2.3.1,0,,,,0
2015/2016,"Atlantic School of Theology, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439564291,11.1.1.1.1.2.3.1,0,,,,0
2016/2017,"Atlantic School of Theology, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439564291,11.1.1.1.1.2.3.1,6,,,,0
