"REF_DATE","GEO","DGUID","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021/2022","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608970921","7.1.1.1.1.2.3.1","447","","","","0"
"2022/2023","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608970921","7.1.1.1.1.2.3.1","507","","","","0"
"2017/2018","Collège de l'Île, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608998152","8.1.1.1.1.2.3.1","3","","","","0"
"2018/2019","Collège de l'Île, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608998152","8.1.1.1.1.2.3.1","6","","","","0"
"2019/2020","Collège de l'Île, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608998152","8.1.1.1.1.2.3.1","6","","","","0"
"2020/2021","Collège de l'Île, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608998152","8.1.1.1.1.2.3.1","12","","","","0"
"2021/2022","Collège de l'Île, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608998152","8.1.1.1.1.2.3.1","24","","","","0"
"2022/2023","Collège de l'Île, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608998152","8.1.1.1.1.2.3.1","27","","","","0"
"2009/2010","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1609000629","9.1.1.1.1.2.3.1","3687","","","","0"
"2010/2011","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1609000629","9.1.1.1.1.2.3.1","4305","","","","0"
"2011/2012","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1609000629","9.1.1.1.1.2.3.1","5007","","","","0"
"2012/2013","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1609000629","9.1.1.1.1.2.3.1","5670","","","","0"
