REF_DATE,GEO,DGUID,Field of study,Program type,Credential type,Institution type,Registration status,Status of student in Canada,Gender,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2016/2017,"CÉGEP régional de Lanaudière à Terrebonne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409762,122.1.1.1.1.2.2.1,1785,,,,0
2017/2018,"CÉGEP régional de Lanaudière à Terrebonne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409762,122.1.1.1.1.2.2.1,1866,,,,0
2018/2019,"CÉGEP régional de Lanaudière à Terrebonne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409762,122.1.1.1.1.2.2.1,1845,,,,0
2019/2020,"CÉGEP régional de Lanaudière à Terrebonne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409762,122.1.1.1.1.2.2.1,1896,,,,0
2020/2021,"CÉGEP régional de Lanaudière à Terrebonne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409762,122.1.1.1.1.2.2.1,1986,,,,0
2021/2022,"CÉGEP régional de Lanaudière à Terrebonne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409762,122.1.1.1.1.2.2.1,1851,,,,0
2011/2012,"Collège TAV, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441414200,123.1.1.1.1.2.2.1,399,,,,0
2012/2013,"Collège TAV, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441414200,123.1.1.1.1.2.2.1,561,,,,0
2013/2014,"Collège TAV, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441414200,123.1.1.1.1.2.2.1,648,,,,0
2014/2015,"Collège TAV, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441414200,123.1.1.1.1.2.2.1,738,,,,0
