"REF_DATE","GEO","DGUID","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020/2021","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608869407","5.1.1.1.1.2.2.1","4893","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608869407","5.1.1.1.1.2.2.1","5031","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608869407","5.1.1.1.1.2.2.1","4992","","","","0"
"2009/2010","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608933023","6.1.1.1.1.2.2.1","3231","","","","0"
"2010/2011","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608933023","6.1.1.1.1.2.2.1","3282","","","","0"
"2011/2012","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608933023","6.1.1.1.1.2.2.1","3336","","","","0"
"2012/2013","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608933023","6.1.1.1.1.2.2.1","3285","","","","0"
"2013/2014","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608933023","6.1.1.1.1.2.2.1","3186","","","","0"
"2014/2015","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608933023","6.1.1.1.1.2.2.1","3114","","","","0"
"2015/2016","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608933023","6.1.1.1.1.2.2.1","3012","","","","0"
