School or Partnership Name*,Province,Total 2018-2023,2018,2019,2020,2021,2022,2023,Increase (2018-2023),Public College-Private Partnership**
École des Hautes Études Commerciales de Montréal (HEC Montréal),QC,4369,720,689,504,1089,633,734,14,
EF International Language Centres,ON,1335,210,223,47,442,206,207,-3,
Cégep de Rivière-du-Loup,QC,682,120,116,91,125,115,115,-5,
VGC International College,BC,1813,256,276,195,493,343,250,-6,
Greystone College of Business and Technology - Vancouver,BC,2860,562,562,217,493,475,551,-11,
Queen’s University,ON,6334,1135,1128,491,1541,924,1115,-20,
Canadian College,BC,3531,426,641,272,787,1006,399,-27,
Sprott Shaw Language College,BC,1180,172,115,114,396,238,145,-27,
Kaplan International Languages,BC,2372,443,334,174,564,459,398,-45,
Upper Madison College of Advanced Language Learning and Skill Development,ON,824,176,175,71,114,157,131,-45,
King’s University College,ON,888,155,155,44,260,166,108,-47,
EF International Language Campus,BC,2011,328,260,173,626,346,278,-50,
Cégep de Matane,QC,896,182,179,110,197,110,118,-64,
Vancouver Film School,BC,2579,508,486,240,440,470,435,-73,
University of Alberta,AB,12344,2241,2014,1048,2665,2235,2141,-100,
Sprott Shaw College,BC,1262,329,229,94,193,194,223,-106,
Collège Canada inc.,QC,4108,290,1251,1212,816,379,160,-130,
Brock University,ON,4751,896,986,380,987,814,688,-208,
Dalhousie University,NS,7984,1357,1355,572,2065,1497,1138,-219,
"Arbutus College of Communication Arts, Business & Technology",BC,1709,437,371,148,310,278,165,-272,
ILSC Toronto,ON,2447,735,545,202,241,330,394,-341,
Vancouver Island University,BC,3212,915,469,163,595,499,571,-344,
Concordia University,QC,16800,2982,2589,1369,3839,3409,2612,-370,
University of Waterloo,ON,12069,2170,2060,1211,2905,1934,1789,-381,
ILSC Vancouver,BC,2550,676,542,235,439,376,282,-394,
McGill University,QC,15345,2880,2561,1782,3061,2598,2463,-417,
British Columbia Institute of Technology,BC,4962,1332,953,306,678,779,914,-418,
International College of Manitoba,MB,6169,1761,1092,316,748,977,1275,-486,
Collège CDI Administration - Technologie Santé (Montreal campuses),QC,7904,909,3269,2262,958,307,199,-710,
Cégep de la Gaspésie et des Îles,QC,5797,1624,1611,396,544,802,820,-804,
Fraser International College,BC,6498,1807,1451,335,1194,864,847,-960,
